,3_w,Average,Balls,Economy,Innings,Runs,Wickets
KP Pietersen,0,17,180,6.83,13,205,7
Washington Sundar,1,20,182,6.1,10,183,8
SN Thakur,3,28,259,7.84,13,337,12
R Shukla,0,33,130,9.43,7,198,5
KP Appanna,1,23,222,7.51,13,278,9
CRD Fernando,1,31,249,6.8,10,279,17
Sohail Tanvir,5,24,265,5.59,11,246,22
AS Rajpoot,1,22,184,7.53,11,226,8
S Ladda,0,27,141,9.61,9,221,5
C Nanda,0,27,50,6.88,3,55,2
RJ Peterson,1,23,48,8.75,4,70,3
A Choudhary,0,34,108,7.61,5,137,5
TM Head,0,20,48,10.12,5,81,2
N Rana,0,3,6,3.0,1,3,0
SB Styris,1,27,222,7.3,11,270,8
K Goel,0,18,67,8.36,6,92,0
Kuldeep Yadav,1,33,324,7.94,14,429,18
RN ten Doeschate,0,9,83,6.77,10,88,2
AF Milne,0,41,115,8.74,5,166,4
RR Raje,0,22,144,8.33,10,200,6
K Rabada,0,34,137,7.91,6,174,6
B Laughlin,0,68,45,9.71,2,68,1
K Upadhyay,0,39,56,8.78,3,79,0
SS Agarwal,0,42,24,10.5,1,42,1
NB Singh,0,14,25,3.5,2,14,1
DJ Thornely,0,12,44,5.43,4,38,3
MJ Henry,0,70,31,14.0,2,70,1
Sunny Gupta,0,45,19,15.0,1,45,0
I Malhotra,0,23,6,23.0,1,23,0
B Chipli,0,20,6,20.0,1,20,0
P Sahu,0,36,107,8.47,5,144,3
SM Boland,0,53,43,7.57,2,53,2
M de Lange,1,39,116,8.26,5,157,5
RA Shaikh,0,11,6,11.0,1,11,0
KS Williamson,0,7,6,7.0,1,7,0
JJ van der Wath,0,62,76,10.42,3,125,3
R Ninan,0,65,36,10.83,2,65,3
CJ Jordan,2,27,188,8.03,10,249,12
VS Yeligati,0,53,32,10.6,2,53,0
RV Gomez,0,16,97,8.0,9,128,5
DP Vijaykumar,0,24,159,7.38,9,192,4
