,Bat_Average,Bowl_Average,Economy,FastScorer,HardHitter,WicketTaker
Mohammad Hafeez,9.142857142857142,30.5,5.809523809523809,0.7619047619047619,0.47619047619047616,31.5
B Laughlin,4.0,68.0,9.066666666666666,0.4444444444444444,0.0,45.0
A Kumble,17.5,22.822222222222223,6.268565615462869,0.7142857142857143,0.24489795918367346,21.844444444444445
MN van Wyk,55.666666666666664,0.0,0.0,1.237037037037037,0.6074074074074074,0.0
KK Cooper,12.88888888888889,21.96969696969697,7.25,1.6571428571428573,1.2,18.181818181818183
G Gambhir,35.62068965517241,0.0,0.0,1.2036120011651616,0.6653073113894553,0.0
J Syed Mohammad,14.5,33.25,8.673913043478262,1.0740740740740742,0.5925925925925926,23.0
SD Chitnis,16.5,27.0,8.526315789473685,1.076086956521739,0.5652173913043478,19.0
S Badrinath,33.51162790697674,0.0,0.0,1.157429718875502,0.629718875502008,0.0
VR Aaron,23.0,30.289473684210527,7.639380530973451,0.8214285714285714,0.35714285714285715,23.789473684210527
PC Valthaty,25.0,28.428571428571427,7.803921568627451,1.1764705882352942,0.8470588235294118,21.857142857142858
SMSM Senanayake,10.0,22.88888888888889,6.338461538461538,0.5882352941176471,0.0,21.666666666666668
SE Marsh,42.186440677966104,0.0,0.0,1.3010977522216414,0.807109252483011,0.0
Mohammad Asif,3.0,36.125,8.71356783919598,0.5,0.0,24.875
L Balaji,6.0,25.653333333333332,7.452550032278889,0.72,0.28,20.653333333333332
N Rana,31.214285714285715,3.0,3.0,1.2309859154929577,0.7718309859154929,6.0
A Mithun,6.8,64.0,8.615384615384615,1.3076923076923077,0.8461538461538461,44.57142857142857
MC Henriques,28.90625,31.894736842105264,7.921568627450981,1.2688614540466392,0.6721536351165981,24.157894736842106
P Awana,2.5,25.641025641025642,7.751937984496124,0.35714285714285715,0.0,19.846153846153847
L Ablish,0.0,24.0,9.6,0.0,0.0,15.0
VY Mahesh,7.5,22.761904761904763,7.988857938718663,0.5357142857142857,0.0,17.095238095238095
GR Napier,15.0,27.0,6.75,0.9375,0.25,24.0
DJ Hussey,30.74418604651163,58.375,8.674922600619196,1.2007266121707538,0.6539509536784741,40.375
Imran Tahir,6.0,20.46808510638298,7.863760217983652,0.72,0.48,15.617021276595745
KJ Abbott,13.0,85.0,10.0,1.625,0.75,51.0
P Parameswaran,1.0,24.333333333333332,8.264150943396226,0.3333333333333333,0.0,17.666666666666668
S Kaul,9.0,26.318181818181817,7.967889908256881,0.6923076923076923,0.0,19.818181818181817
GJ Maxwell,25.081632653061224,41.0,8.25,1.5756410256410256,1.123076923076923,29.818181818181817
TD Paine,5.0,0.0,0.0,0.3448275862068966,0.0,0.0
Mandeep Singh,21.274509803921568,0.0,0.0,1.183206106870229,0.6848418756815703,0.0
A Chandila,4.0,22.0,6.205128205128205,0.5714285714285714,0.0,21.272727272727273
R Rampaul,10.2,17.0,6.450592885375494,0.9807692307692307,0.46153846153846156,15.8125
DP Vijaykumar,1.0,48.0,7.245283018867925,1.0,0.0,39.75
NS Naik,11.5,0.0,0.0,0.696969696969697,0.12121212121212122,0.0
AA Noffke,9.0,35.0,8.4,0.75,0.3333333333333333,25.0
PR Shah,11.5,0.0,0.0,0.9484536082474226,0.4948453608247423,0.0
BA Bhatt,6.0,32.416666666666664,7.702970297029703,0.8571428571428571,0.8571428571428571,25.25
AP Dole,17.0,21.0,8.63013698630137,1.4782608695652173,0.782608695652174,14.6
